nonce,seed,best_256x65536,median_256x65536,below_256x65536
207,2d1b65a789b24e5d5bbabeba7825daf8ef31f05017be9b0d4c4af8d0616eefb7,-14372000,-14340000,0
208,7b4c61ac18d59bfe23f0a34cdee81be703dfc4188d6c25d97df6d8444ff64838,-14482000,-14440000,0
209,e46eca9d6d28a7f139c3c4ff8e3d4589ffa492c26b1dcc39765ecd59b16df2f4,-14392000,-14348000,0
210,ec29db3733ce646ebf643d0b1f697e2db6d189f5a39e4d87956f0a3592075593,-14452000,-14404000,0
211,287380a687566961ceb928747ade08e93d5bad2b70249fcccb6e5d56d114ce2e,-14474000,-14432000,0
212,b013ce0dd6d96fd0976309d71192bd4f9074adf3bb624653790a77d5fdbdc0e3,-14366000,-14334000,0
213,c3e533e546f1c2c2c892287dca48a56eed7175523f1cf0384e402c9ffd263b08,-14346000,-14316000,0
214,a9a1681799816944aa3a0f9e84c0d7585fce166fb23a411a0394b63fdf76118e,-14424000,-14382000,0
215,c2fed548a0190aecbfa59dc95c6957773411b8812f4e578816acb5ea57fe9857,-14410000,-14376000,0
216,35f609d9f08f451c99c832d5f96b106b48aba9658ee959791e2a5d72b3b902ae,-14376000,-14344000,0
217,348e54bc10ef2ad8282a994df95a15567c92f5d8b71fe9335866dff4beabffa6,-14416000,-14370000,0
218,1c9dc32eb0ca4e9226dd963743e563b61c79d27d620b33e2ee1a48b779fffa76,-14406000,-14364000,0
219,da6b233af7adae818d9bec06cb09f480fa0142bba88247e679bb790cfc45e877,-14438000,-14384000,0
220,ffb537039725eb915445cb9cbc5a4718de0635b2a5979923531b6de236520ee6,-14442000,-14400000,0
221,d81fb1a19c259cf7e78b80c054405aae30933f7e4bc9741416206dd54337c4b7,-14414000,-14378000,0
222,2d63e3e2798954a4abcecd5878c98eb1f69f361d50c4ba6b49cfc7bdd2e0a47f,-14496000,-14464000,0
223,cf7e33a00a6629f9f24b9141824e9210e5d5f4a3c0928a5c0ee5268fc6a9a949,-14380000,-14340000,0
224,c629d091bef33bf71538ebed4582d1fb254bb6ed7ffa00d1f34e7d2bf0f45efc,-14410000,-14372000,0
225,a2ae3d2b4048f8157f3d2aab150eb247c5d6d6a0bf4070b2286aaae4381a8b4c,-14374000,-14344000,0
226,68ae0d8e2895831c342fdfb78e1a3bfd6adc4900d6688dac521517afe88c890e,-14328000,-14302000,0
227,78676b7d21e9ae5ab66fcbd64fc08720e9d4993f740af89400fd0ef181f6a555,-14376000,-14336000,0
228,12a2174332234a70d6499785f01f4853c5d2fe4db5b3ae96203ec9fe2caf2414,-14424000,-14372000,0
229,1a0ed0b2268cc5bd8668799b224cc9bdd77babda79df839fe0387a9d90e46d9e,-14438000,-14400000,0
230,3b8866da3d2bbf83eb2ba1bebff3b6247cf313aab41ff2f79a8be02e4af0aab2,-14350000,-14314000,0
231,8ec300e8904c8efa89e1831210ca1de10aa47ba60fab4eb7c211db70c1a71560,-14408000,-14374000,0
232,d4a30fab6b17762d93c9edd859c3d847c0169cc48c4d6560ed9e1245248d2d31,-14308000,-14268000,0
233,663ce4c7119a174b9e2dd4c1783c74aa45226584d453b58941d9ef22057c359a,-14472000,-14436000,0
234,b18aedd441780959e4ddb866b8fa5ef65f5540097fa25ce235628669093e5cbd,-14334000,-14298000,0
235,e8e90f1cf1bb592d3b8c8618a1d693b4e3ef55757d2f6e3bfcdcc0dea54cd4fa,-14376000,-14342000,0
236,7a68e91be20247902ae4dfc00b66c39e6211e63e6822bec7c0c5b31e98e90b84,-14452000,-14392000,0
237,e37e1adfd1c54da4de925bd001fa533f7b52b2130289868f1fc870217fe4de53,-14378000,-14344000,0
238,32dbc5c921bb77a104dc4ef89025851cbcc0f190ff779f103d8ccd7385934876,-14312000,-14272000,0
239,46f0b3a7141b45e026464490edf85bc22a87e5dc1363dd30a4c690ff0f83fa50,-14454000,-14418000,0
240,d9be595b35ea3422e49b93e76b05b5f5d3c5602ce70667c7981083c3cb51af0e,-14372000,-14338000,0
